age,income,employment_length,credit_history_length,credit_utilization,debt_to_income_ratio,loan_amount,education,marital_status,home_ownership,purpose,num_credit_accounts,num_delinquent_accounts,bankruptcies,credit_score,default
56,56291.043410735394,24.0,14,0.8215685009737982,0.7986255205853519,53203.10713151605,High School,Single,Mortgage,home_improvement,15,1,0,660,1
69,52772.91789423605,21.0,8,0.6299400789230429,0.3492327849597344,16600.97600688638,High School,Single,Mortgage,debt_consolidation,16,1,0,685,1
46,49747.12375316441,22.0,28,0.7860862291834498,0.39926919915403725,7763.162458072104,Bachelor,Married,Rent,major_purchase,19,4,0,702,0
32,52520.010380881344,,10,0.7999039272758867,0.4027127199701861,23593.756963920256,Bachelor,Single,Own,education,3,4,0,684,1
60,42589.99804984691,25.0,25,0.8510125762174637,0.15649057494996682,21061.01610107862,High School,Single,Mortgage,education,13,0,0,665,0
25,17924.95888667339,26.0,9,0.2666637829975542,0.6419205017029967,22925.114727391658,PhD,Married,Own,debt_consolidation,18,0,0,555,0
78,42063.2355851071,11.0,1,0.8712685228204219,0.2771710670982752,54664.300838765856,Master,Single,Own,debt_consolidation,9,3,0,705,0
38,59374.99568630571,18.0,21,0.6540939984634909,0.592566939818044,13134.867679847848,Bachelor,Married,Rent,education,9,3,0,528,1
56,47261.30022781192,18.0,13,0.28972555659448695,0.4325629151849135,24081.337372403876,Bachelor,Married,Mortgage,home_improvement,18,4,0,652,0
75,57829.76746261002,33.0,3,0.9872947149962611,0.5282458195535689,1000.0,Bachelor,Married,Rent,major_purchase,7,0,1,664,0
36,38264.339409810294,31.0,1,0.950182393731669,0.1377801455464974,53394.95796836073,Master,Single,Own,home_improvement,19,2,0,503,0
40,69886.72159755857,28.0,4,0.5744409832063994,0.7229759790915964,1000.0,Bachelor,Married,Mortgage,education,19,4,0,576,1
28,15000.0,20.0,13,0.8432083783995635,0.27069973859379937,27167.64484393895,Bachelor,Married,Own,education,15,3,0,778,0
28,52828.81025846709,34.0,14,0.2614944887198717,0.5690667712505859,4881.513606227545,Bachelor,Married,Mortgage,debt_consolidation,15,1,0,567,0
41,76977.60694242557,,18,0.41603699661089,0.6586133784463132,4119.37591531673,Master,Single,Mortgage,home_improvement,8,2,0,708,0
70,79953.97032082925,11.0,5,0.1839717607438337,0.47802710209823795,11747.535872221883,Bachelor,Married,Rent,education,14,2,0,530,1
53,45363.476615150495,6.0,26,0.520102642629248,0.33613381545503696,8460.267596200418,Master,Married,Mortgage,home_improvement,16,4,0,510,0
57,23476.036887142316,1.0,14,0.4960014300716653,0.7845323621367538,29040.53468555413,High School,Married,Rent,major_purchase,16,3,1,724,0
41,77329.45684686718,24.0,13,0.21281322596156638,0.29490779928948696,5873.583622597991,PhD,Married,Rent,education,18,2,0,761,0
